Restaurant	Category	Dish	Description	Food restrictions	Source
Il Siciliano Espa	Desserts	Sisilialainen cannolo	Cannolo siciliano	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Il Siciliano Espa	Desserts	Kahvigranità, kermavaahtoa, lämmin briossi sisilialaisittain	Caffè granita and whipped cream served with warm Sicilian brioche	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Il Siciliano Espa	Desserts	Manteli-pistaasitiramisù G	Almonds and pistachios tiramisu	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Viinibaari Apotek / Wine Bar Apotek	Sides	Sardiineja / Nokkakalaa oliiviöljyssä (sis. leipä)	Sardines / garfish in olive oil bread included	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Viinibaari Apotek / Wine Bar Apotek	Sides	Oliivit	Olives	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Viinibaari Apotek / Wine Bar Apotek	Mains	Kukkakaalia, fetaa & omenaa (G)	Cauliflower, feta & apple (G)	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Viinibaari Apotek / Wine Bar Apotek	Mains	Kirjolohta, melonia & mätiä (L, G)	Rainbow trout, melon & roe (G)	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Viinibaari Apotek / Wine Bar Apotek	Mains	Tartar, savustettua luuydintä & piparjuurta (L) (FI)	Beef tartar, smoked bone marrow, horseradish (L)	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Viinibaari Apotek / Wine Bar Apotek	Mains	Selleriä, salviaa & voita (V,G)	Celeriac, sage & butter	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Viinibaari Apotek / Wine Bar Apotek	Set Menu	Keittiön 4 ruokalajin menu	Chef`s 4 course menu	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Kissakahvila Helkatti	Mains	Kermainen sienipasta (L)	Fettuccine-pastaa, juustolastuja ja metsäsieniä	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Kissakahvila Helkatti	Mains	Halloumisalaatti (L)	Runsaalla sitruunaisella salaattipedillä halloumia, granaattiomenan siemeniä ja hedelmää.	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Kissakahvila Helkatti	Desserts	Kinuskin karnevaalijäätelöannos	Jäätelä, kinuskikastiketta, kermavaahtoa, vaahtokarkkeja, hedelmäkarkkeja, strösseliä ja vohvelisikari	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Ravintola Georgian Vibe	Starters	Phkali valikoima G,L/M,V	(Vihreitä papuja,pinaattia ja saksanpähkinöitä)	['Vegan', 'Vegetarian']	menu_highlights
Ravintola Georgian Vibe	Starters	Badrijani G,L/M,V	(Saksanpähkinöillä ja georgialaisilla yrteillä täytettyjä munakoisoja)	['Vegan', 'Vegetarian']	menu_highlights
Ravintola Georgian Vibe	Starters	Satsivi katmis G,L/M	(kanaa saksanpähkinäkastikkeessa)	['Vegan', 'Vegetarian']	menu_highlights
Ravintola Georgian Vibe	Mains	Lobio ruukussa G,L/M,V	(Ruskeita papuja ja yrttejä)	['Vegan', 'Vegetarian']	menu_highlights
Ravintola Georgian Vibe	Mains	Chashushuli G,L/M	(Naudanlihaa, tomaattia ja yrttejä)	['Vegan', 'Vegetarian']	menu_highlights
Ravintola Georgian Vibe	Mains	Mtsvadi kananliha G,L/M	(Shashlik kananlihasta)	['Vegan', 'Vegetarian']	menu_highlights
Ravintola Georgian Vibe	Desserts	Churchxela	(lankaan pujotettuja pähkinöitä, joita kastetaan jauhon ja sokerin sekoituksessa)	['Vegan', 'Vegetarian']	menu_highlights
Ravintola Georgian Vibe	Desserts	Khilis asorti G,L/M,V	(sesongin hedelmät)	['Vegan', 'Vegetarian']	menu_highlights
Ravintola Georgian Vibe	Desserts	Napaleon kakku	(Vaalea kakku)	['Vegan', 'Vegetarian']	menu_highlights
Siipiweikot Kamppi	Starters	Ristikkoperunat (L, pyydettäessä VEG)	"& aurajuustodippi (VL)
5,50 € / 6,90 €"	['Gluten-free', 'Vegetarian']	menu_highlights
Siipiweikot Kamppi	Starters	Chicken Fingers	sis. 4 kpl paneroituja kanan sisäfileitä, porkkana- & kurkkutikkuja sekä remouladedipin	['Gluten-free', 'Vegetarian']	menu_highlights
Siipiweikot Kamppi	Mains	Siiwet	"100 % Suomalaista broileria. (L, pyydettäessä G)
16 kpl (SUOSITTU!)"	['Gluten-free', 'Vegetarian']	menu_highlights
Siipiweikot Kamppi	Mains	Siiwege	"Ylöjärvellä tehty, seitanista valmistettu vegaaninen ""siipi"". (L, VEG)
n. 10 kpl (SUOSITTU!)"	['Gluten-free', 'Vegetarian']	menu_highlights
Siipiweikot Kamppi	Mains	Boneless	"100 % Suomalaista broileria. Paneroitu luuton kanan paistipala. (L)
n. 8 kpl (SUOSITTU!)"	['Gluten-free', 'Vegetarian']	menu_highlights
Georgian Supra	Starters	Georgian Gobi	A colorful assortment  of walnut-stuffed and garlic sour cream-stuffed eggplant rolls, Georgian style bean, beetroot, spinach and green bean pkhali, tomato-cucumber salad, and crispy cornbread (Vegan option available) (L, G, VE)	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Georgian Supra	Starters	Gebzhalia with Elarji Balls	Megrelian (Western Georgia) dish of soft sulguni cheese folded in a light mint yogurt sauce, served with warm, stretchy cornmeal elarji.	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Georgian Supra	Salads	Warm Garlic Chicken Salad	Shredded chicken with creamy garlic dressing, vegetables, and herbs (L)	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Georgian Supra	Salads	Georgian Salad	Georgian style cucumber-and-tomato salad with walnut.	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Georgian Supra	Signature	Chakapuli	"Our restaurant's royal dish. Lamb cooked with white wine, tarragon, sour plums, and herbs.
A true Georgian classic full of rich, bright flavors (G. L)"	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Georgian Supra	Signature	Creamy Calf Chakapuli	"Calf cooked in a light tarragon and herb cream sauce, served with warm aligo and crispy
bread sticks."	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Georgian Supra	Signature	Shkmeruli	Traditional Georgian chicken cooked in creamy garlic sauce, made in the authentic village style (L, G)	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Georgian Supra	Signature	Chashushuli	"Slow-cooked beef stew with tomatoes, onions, and Georgian spices, rich in flavor and
warmth. Comes with bread (G. L)"	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Georgian Supra	Signature	Qalia with Pomegranate	Tender pork mixed with fragrant herbs, garlic, and sharo vinegar, enriched with sweet-tart pomegranate seeds for a bold. comforting Georgian flavor. Served with creamy mashed potatoes as a side	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Georgian Supra	Pastries	Adjaruli Hatsapuri with Mint and Spinach	Boat-shaped baked bread filled with melted cheese, spinach, mint, and a knob of butter (VE)	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Georgian Supra	Pastries	Double Hatsapuri	Cheese-filled round bread topped with extra melted cheese and baked to a golden finish (VE)	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Pueblo Bar y Taqueria	Mains	Carnitas	"Homemade corn tortillas.n3-4 Tacos served with Mexican rice & refried black beans. With slow-cooked pork neck. Topped with coriander and onion.

2 x 8.00 € 
3 x 12.30 € 
4x 14.90 €"	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Pueblo Bar y Taqueria	Mains	Camarones	"Homemade corn tortillas. 3-4 Tacos served with Mexican rice & refried black beans with tiger prawns marinated in spicy habanero sauce. Topped with avocado, coriander and onion.

2 x 9.50 €
3 x 14.60 € 
4 x 17.60 €"	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Pueblo Bar y Taqueria	Mains	Verduras	"Homemade corn tortillas.
3-4 Tacos served with Mexican rice & refried black beans with cauliflower, broccholi, zucchini with melted cheese. Topped with coriander and onion.

2 x 8.00 € 
3 x 12.30 € 
4 x 14.90 €"	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Pueblo Bar y Taqueria	Desserts	House ice creams	Ask at the bar and we’ll let you know what’s in the freezer	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Pueblo Bar y Taqueria	Snacks	Nachos con guacamole	Corn tortilla chips served with fresh made guacamole.	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Pueblo Bar y Taqueria	Snacks	Quesadillas simples	Wheat tortillas filled with cheese, topped with sallad, onion and coriander	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Pueblo Bar y Taqueria	Snacks	Choriqueso	"Wheat tortilla filled with Chorizo, potatoe, onion and melted cheese.
Served with house chipotle salsa and topped with coriander and onion."	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Brokadi Tripla	Starters	Sichuan Beef salad with Sichuan pepper oil		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Brokadi Tripla	Starters	Sichuan chilli oil dumplings 6 pcs		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Brokadi Tripla	Starters	Soft tofu pudding with Sichuan pepper oil		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Brokadi Tripla	Soups	Mushroom and chicken soup		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Brokadi Tripla	Soups	Soup noodle with chicken and mushroom		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Brokadi Tripla	Soups	Hot and sour rice noodle		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Brokadi Tripla	Mains	Brokadi dry fried frog with Sichuan pepper		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Brokadi Tripla	Mains	Instant spicy steam hotpot (for 2 persons)		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Brokadi Tripla	Mains	Brokadi BoBo mix pot (28 sticks)		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Brokadi Tripla	Mains	Hot tender chicken with fresh green chili		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Brokadi Tripla	Mains	Black pepper flavoured beef with fresh mushroom		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Brokadi Tripla	Mains	Sweet and sour tenderloin		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Brokadi Tripla	Vegan	Dry fried cauliflower and broccoli		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Brokadi Tripla	Vegan	Fried lotus root slices with green bean and mushroom		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Brokadi Tripla	Vegan	Brokadi cumin flavoured vegan mix pot		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Brokadi Tripla	Desserts	Fried banana with ice cream		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Capperi - Tripla	Starters	Tagliere Capperi	Pizzasuikaleiden kanssa bufala-mozzarellaa, gorgonzolaa ja pecorino-juustoa, San Daniele-ilmakuivattua kinkkua, italialaista kinkkua, sopressata-salamia, ndujaa, Caiazzo-oliiveja ja tonnikalalla täytettyä paprikaa (kahdelle)	['Vegetarian']	menu_highlights
Capperi - Tripla	Kids Menu	Lasten Margherita kinkulla		['Vegetarian']	menu_highlights
Capperi - Tripla	Kids Menu	Lasten Margherita		['Vegetarian']	menu_highlights
Capperi - Tripla	Kids Menu	Lasten Margherita salamilla		['Vegetarian']	menu_highlights
Capperi - Tripla	Pizza	Margherita DOP	Tomaattikastike San Marzino-tomaateista, mozzarellaa ja tuoretta basilikaa	['Vegetarian']	menu_highlights
Capperi - Tripla	Pizza	Diavola Calabrese	Tomaattikastike San Marzano-tomaateista, mozzarellaa, Calabrian soppressata-salamia, tulista ja mausteista N'duja-salamilevitettä ja tuoretta basilikaa	['Vegetarian']	menu_highlights
Capperi - Tripla	Pizza	Capperi!	Mozzarellaa, keltaisia ja punaisia Piennolo-tomaatteja, kapriksia Salinasta, Caiazo-oliiveja ja tuoretta basilikaa	['Vegetarian']	menu_highlights
Ravintola Central	Starters	Etanapannu (L)	"Sinihomejuustolla kuorrutettuja etanoita
valkosipulivoissa sekä talon leipää."	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Ravintola Central	Mains	Pippuripihvi (L)(G)	"150 g mureaa naudan ulkofileetä, kermaista mustapippurikastiketta,
lämpimiä sesongin kasviksia ja uuniperunaa."	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Ravintola Central	Mains	Centun kanaa (L)(G)	"Hunajaista kermakastiketta, lämpimiä kasviksia
ja ranskanperunoita."	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Ravintola Central	Mains	Centun Burger (L)	"Rotukarjan burgerpihvi (160 g), jääsalaattia,
tomaattia, punasipulia, cheddarjuustoa, BBQ-kastiketta
ja chilimajoneesia. Burgerin kaveriksi ranskalaisia."	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Ravintola Central	Mains	Paistettua maksaa ja rapeaa pekonia (L, G)	"Kermakastiketta, perunasosetta, sokeroitua
puolukkaa, rapeaa pekonia ja lämpimiä kasviksia."	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Mamma Rosa	Starters	"Yrtti-valkosipulikuorrutetut etanat	L"	Snails with garlic and herb butter	['Vegetarian']	menu_highlights
Mamma Rosa	Starters	Buffalomozzarella-tomaattibruschetta VL,SG	Bufala mozzarella and tomato bruschetta	['Vegetarian']	menu_highlights
Mamma Rosa	Starters	Raputoast Mamma Rosa, lohenmätiä L, SG	Shrimp toast with roe of salmon	['Vegetarian']	menu_highlights
Mamma Rosa	Mains	Vuohenjuustoa ja portobellosientä, valkosipulipastaa VL	Goat cheese and portobello mushroom, garlic pasta	['Vegetarian']	menu_highlights
Mamma Rosa	Mains	Päivän tuoretta kalaa, punajuurikastiketta L,G	Fresh fish of the day, beetroot sauce	['Vegetarian']	menu_highlights
Mamma Rosa	Mains	Grillisitruunakuorrutettua broileria, parmesanrisottoa L, G	Grilled lemon gratinated chicken, parmesan risotto	['Vegetarian']	menu_highlights
Mamma Rosa	Desserts	Suklaafondant, marjasorbet L	Chocolate fondant, berry sorbet	['Vegetarian']	menu_highlights
Mamma Rosa	Desserts	Vaniljapannacotta, raparperia ja mansikkaa L, G	Vanilla panna cotta, rhubarb and strawberries	['Vegetarian']	menu_highlights
Mamma Rosa	Desserts	Tiramisu L		['Vegetarian']	menu_highlights
Pomo D'Or Hietalahti	Antipasti	Asparagi e Burrata con Bottarga di Muggine	pehmeää parsaa klassisella Béarnaisekastikkeella, Apulian burrataa jauhetun mullet Bottarga -pulverin kanssa (jauhettua kelttikalan mätiä) ja ruisleivän muruja	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Pomo D'Or Hietalahti	Antipasti	Tartare di Salmone Marinato	raavattua lohta taimenen mädin, rouhittujen pistaasipähkinöiden ja tillikastikkeen kanssa	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Pomo D'Or Hietalahti	Antipasti	Veli di Bresaola Gourmet	ohueksi viipaloitua Bresaola-kinkkua Parmigiano Reggiano -lastujen, rucolan, sitruunavinaigretten ja metsämarjakastikkeen kera	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Pomo D'Or Hietalahti	Primi Piatti	Spaghetti alla Carbonara Tradizionale	spagettia, guancialelihaa ja Pecorino Romano -juustoa, emulgoitu klassisella roomalaisella tavalla	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Pomo D'Or Hietalahti	Primi Piatti	Risotto Primavera di Mare	parsarisottoa katkaravuilla, sitruunalla, taimenen mädillä ja parmesaanikermalla	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Pomo D'Or Hietalahti	Mains	Tagliata di Entrecôte ai Frutti di Bosco	grillattua, siivutettua entrecôtepihviä metsämarjakastikkeella, annos tarjoillaan rucolan, kirsikkatomaattien, Parmigiano Reggiano -lastujen ja valkosipuliperunoiden kanssa	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Pomo D'Or Hietalahti	Mains	Salmone e Asparagi al Pepe Rosa	paahdettu lohifilee parsan ja rosépipippuriperunoiden kanssa tillivoikastikkeella	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Pomo D'Or Hietalahti	Desserts	Tiramisù Classico	klassinen italialainen jälkiruoka perinteiseen tapaan	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Pomo D'Or Hietalahti	Desserts	Affogato al Caffè	espressokahviin upotettua vaniljajäätelöä	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Tinku Café Bar	Lunch	Lunch	"Monday to Friday we have lunch from 10-15!
Come to try our delicious Latin Bowls and empanadas!"	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Brasserie Grand	Starters	Salade de Chèvre Chaud: vuohenjuustosalaatti, grillattua leipää, rapeaa pekonia ja paahdettuja pinjansiemeniä (VL)	"Chèvre salad with grilled bread, crispy bacon and toasted pine nuts (LL) 14,50 €
 Recommended wine: Domaine de la Perrière Blanc Fumé de Pouilly 16,20 € / 12cl"	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Brasserie Grand	Starters	Toast Skagen:   käsinkuorittuja katkarapuja, briossileipää ja muikunmätiä (L)	"hand-peeled shrimps, brioche and vendace roe (L) 16,50 € 
Recommended wine: Leitz 4 Friends Riesling Trocken 10,60 € / 12cl"	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Brasserie Grand	Starters	Brasserie Grandin tartarpihvi,  keltuaiskreemiä, pikkelöityjä sinapinsiemeniä, sipulia ja piparjuurta (M, G)	"Steak tartare á la Brasserie Grand,  egg yolk cream, pickled mustard seeds, onion and horseradish (M, G)  15,50 €
 Recommended wine: Cossetti Barbaresco 13,80 € / 12cl"	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Brasserie Grand	Mains	Pecorinorisottoa, San Daniele kinkkua ja Chianti-lientä (L, G)	"Pecorino risotto, Prosciutto di San Daniele and Chianti stock (L, G)  32,00 €
Recommended wine: Castello di Radda Chianti Classico DOCG 15,50 € / 16cl"	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Brasserie Grand	Mains	Brasserie Grandin tartarpihvi,  keltuaiskreemiä, pikkelöityjä sinapinsiemeniä, sipulia ja piparjuurta, sivusalaatti,  parmesan-rosmariiniranskalaisia sekä aiolia (M, G)	"Steak tartare a´la Brasserie Grand,  egg yolk cream, pickled mustard seeds, onion and horseradish, side salad,  parmesan-rosemary fries and aioli (M, G)  28,50 €
 Recommended wine: Cossetti Barbaresco 18,30 € / 16cl"	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Brasserie Grand	Mains	Härän marmorifileepihvi, Comté-perunapyreetä,   maa-artisokkaa ja salottisipuli-punaviinikastiketta (L, G)	Marble beef fillet, Comté potato pyrée, Jerusalem artichoke and shallot-red wine sauce (L, G)  42,00 € Recommended wine: Ogier Artésis Rouge Côtes du Rhône 12,60 € / 16cl	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Brasserie Grand	Desserts	Omena-frangipanekakkua ja crème anglaise (L)	"Apple-frangipane cake and crème anglaise (L)  11,50 €
Recommended wine: Golser Wein Beerenauslese 13,20 € / 8cl"	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Brasserie Grand	Desserts	Kookospannacotta, limesiirappia ja vadelmageeliä (M, G, V)	"Coconut pannacotta, lime syrup and raspberry gel (M, G, V)  11,50 €
Recommended wine: Cossetti Moscato d’Asti La Vita9,60 € / 8cl"	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Brasserie Grand	Desserts	Suklaa-pistaasi crème brûlée (L, G)	"Chocolate pistachio crème brûlée (L, G)  11,50 €
Recommended wine: Château Mulonniére Coteaux du Layon 11,70 € / 8cl"	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Victors Krog	Starters	”Krogtail”	Jokirapucocktail Krogin tyyliin. Raikkaita jokiravunpyrstöjä, kurkkua, kevätsipulia, punssilla maustettua tomaattimajoneesia (L,G)	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Victors Krog	Starters	Jääkellarin lohi	Miedosti maustetussa liemessä marinoitua lohta, piimä-piparjuurikastiketta ja tilliöljyä (L,G)	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Victors Krog	Starters	Toast Skagen	Saaristolaisleipää sillivoilla siveltynä, skagenröraa jokiravunpyrstöillä ja muikunmätiä (L)	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Victors Krog	Mains	Wanhan Helsingin kalakärry	Kärry on lastattu päivän silleillä ja silakoilla. Lisäksi tarjolla on maalaisserkun järviherkkuja, varhaisperunaa ja tuoretta tilliä. (L,G)	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Victors Krog	Mains	Sipulipihvi	200 g marmoroitua ulkofileetä, paistettua keltasipulia, kermaista pippuri-konjakkikastiketta, kauden kasviksia ja paistettua varhaisperunaa (L, G)	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Victors Krog	Mains	Hauki Wallenberg	Kuohkea haukipihvi, sienikastiketta sekä puikulaperunamuusia ja muikunmätiä (L)	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Victors Krog	Desserts	Raparperi-kaurapaistos ja jäätelöä		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Victors Krog	Desserts	Piimäkakkua, marjoja, smetanaa, balsamicoa ja vaahterasiirappia		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Victors Krog	Desserts	Juustoa ja kuusenkerkkäsiirappia		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Version	Mains	Parsley risotto	Parsley risotto	['Vegan', 'Vegetarian']	menu_highlights
Version	Mains	Mushroom skewer, herb salad	Globe artichoke, salt potatoes, antiboise sauce	['Vegan', 'Vegetarian']	menu_highlights
Version	Mains	200g Charcoal-grilled beef tenderloin (Finland)	Caramel carrots, roasted padron pepper, bordelaise sauce	['Vegan', 'Vegetarian']	menu_highlights
Block By Dylan	Brunch	Brunssi	"- Valikoima kauden salaatteja
- Jogurttia, mysliä ja kotimaisia marjoja
- Leikkeleitä, kermajuustoa, levitteitä
- Leipävalikoima, karjalanpiirakoita ja croissantteja
- Lämpimiä vaihtoehtoja
- Herkullinen jälkiruokapöytä
- Vohvelibaari"	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Block By Dylan	Lunch	Lounas		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Block By Dylan	Beverages	H2H teet		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Lie Mi Bulevardi	Starters	GOI CUON: SUMMER ROLLS	Pork belly / Mango chicken / Shrimp + avocado / Smoked salmon / Tofu	['Gluten-free', 'Vegetarian']	menu_highlights
Lie Mi Bulevardi	Dim Sum	STEAMED DIM SUMS	Pork / Shrimp	['Gluten-free', 'Vegetarian']	menu_highlights
Lie Mi Bulevardi	Mains	HANOI FRIED RICE	Beef / chicken / tofu / shrimp	['Gluten-free', 'Vegetarian']	menu_highlights
Lie Mi Bulevardi	Mains	CRISPY DUCK WITH RICE & CURRY SAUCE		['Gluten-free', 'Vegetarian']	menu_highlights
Lie Mi Bulevardi	Mains	STIR FRIED NOODLES	Beef / chicken / tofu / shrimp	['Gluten-free', 'Vegetarian']	menu_highlights
Kuusi Palaa	Starters	Puoli Kuusi (3)	"Paneroitua aurajuustoa / paholaisenhilloa / tuoretta tyrniä (L, G)*

Mustikkagraavattua lohta / tilliaiolia / kuivattua kaprista (G, M)

Vorschmackia / punajuurismetanaa / suolakurkkua (L, G) sis. anjovista"	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Kuusi Palaa	Mains	KUHA (L , G)	Grillattua kuhaa, maalaisperuna-juuressalaattia, Koskenkorva-beurre blanc	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Kuusi Palaa	Mains	SORSA (L , G)	Grillattua sorsanrintaa keittiöpäällikön tapaan, punaherukkakastiketta, perunamunkkia, punajuuripyrettä, marinoitua kantarellia	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Kuusi Palaa	Mains	RISOTTO (L , G) * sis. pähkinää	Kantarellirisottoa, Halla-juustoa, cashew-kreemiä	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Kuusi Palaa	Desserts	MARSKIN MOKKA6PALAA (L , G)	Suklaakakkua, valkosuklaaganachea, espressomartinijäätelöä sis. alkoholia	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Kuusi Palaa	Desserts	KARDEMUMMA CRÈME BRÛLÉE (L, G)	Kardemummalla maustettua crème brûléeta ja seljankukkaraparperia	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Kuusi Palaa	Desserts	SITRUUNAPANNACOTTA (G , V)	Sitruunaista pannacottaa ja mansikkageeliä	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Cafe Bar No 9	Salads	CAESAR SALAD (L)	WITH CHICKEN	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Cafe Bar No 9	Salads	THE GREEK (G,K)	"FRIED HALLOUMI ON A CRISP BED OF FRESH LETTUCE AND SEASONAL FRUITS.
FINISHED WITH A CITRUS VINAIGRETTE AND SUNFLOWER SEEDS."	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Cafe Bar No 9	Salads	ATKINS (M,G)	"YOUR CHOICE OF SALMON OR SIRLOIN STEAK, SERVED ON A GENEROUS PORTION
OF FRESH SALAD, THEN FINISHED WITH OUR GARLIC AND HERB DRESSING."	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Cafe Bar No 9	Pasta	POLLO LIMONELLO (L)	OUR SIGNATURE DISH. SLICED CHICKEN BREAST IN A LEMON YOGHURT SAUCE.	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Cafe Bar No 9	Pasta	CARBONARA & GRAN CARBO (L)	"SMOKED HAM, BACON, ONION AND GARLIC TOPPED WITH AN EGG YOLK.
UPGRADE TO GRAN CARBO BY ADDING CHORIZO AND PARMESAN +2,00€"	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Cafe Bar No 9	Pasta	LUIGI  (L,K,V)	FRESH SPINACH AND PESTO PASTA MIXED WITH SPAGHETTI.	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Cafe Bar No 9	Mains	CLASSIC CORIANDER WOK (M)	"A CLASSIC SINCE 1996! CHICKEN OR JALOTOFU, VEGETABLES AND RICE NOODLES
IN A SOY-BASED SAUCE."	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Cafe Bar No 9	Mains	MONTE ROSSO BURGER (L)	"THE WAY BURGERS SHOULD BE! 150G OF BEEF, CHEDDAR CHEESE AND
HOMEMADE BBQ MAYO. SERVED WITH HAND CUT WEDGES AND DIP."	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Cafe Bar No 9	Mains	SALMON MEDALLION (G,L)	"A LARGE CUT OF FRESH SALMON COVERED IN A CREAMY WHITE WINE AND
CHIVE SAUCE, SERVED ON A BED OF MASH AND FINISHED WITH A SIDE SALAD."	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Panimoravintola Viisi Penniä	Starters	HÄRKÄTARTAR (L, G*)	"Tuoretta kotimaista naudanpaistia, marinoitua punasipulia, lipstikkamajoneesia, paahdettuja
kapriksia, keltuaista ja hapanjuurileipää"	['Vegan', 'Vegetarian']	menu_highlights
