	Name	Location	Cuisine	Meals	Price Level (out of 4)	Rating (out of 6)	Review Count	Page URL
129	Tiflisi	Kamppi 	Georgian	Dessert, Dinner	0	5.5		/en/place/tiflisi-105531/menu
130	YUWA`S	Kamppi 	Asian Fusion	Lunch, Dinner	0	5.6		/en/place/yuwas-102150/menu
131	Casa Haga	Haaga 	Spanish	Tapas, Dessert, Dinner	0	4.7		/en/place/casa-haga-100321/menu
132	Cafe & Bistro Hiezu	Töölö 	European	Brunch, Dinner	0	4.5		/en/place/cafe-bistro-hiezu-96430/menu
133	Fuji Biyori	City Centre 	Japanese	Lunch, Dinner	0	4.5		/en/place/fuji-biyori-99979/menu
134	Victor's Garden	Kaartinkaupunki 	Asian	Dessert, Dinner	0	5.3		/en/place/victors-garden-106759/about
135	The Schnitzel Tripla	Pasila 	Korean	Lunch, Dinner	0	4.4		/en/place/the-schnitzel-tripla-90435/menu
136	Makaronitehdas REDI	Kalasatama 	Pasta	Lunch, Dessert, Dinner	0	5.0		/en/place/makaronitehdas-redi-98493/menu
137	Fly Fusion Restaurant	Katajanokka 	Vietnamese	Breakfast, Lunch, Cake & Coffee	0	5.4		/en/place/fly-fusion-restaurant-99343/menu
138	Ravintola Mestaritalli	Töölö 	Scandinavian	Dinner	0	4.2		/en/place/ravintola-mestaritalli-61082/about
139	Restaurant Stansvik	Laajasalo 	Finnish	Lunch	0	4.6		/en/place/restaurant-stansvik-106308/menu
140	Minato Sushi	Hietalahti 	Sushi	Lunch, Dinner	0	5.7		/en/place/minato-sushi-97453/menu
141	Ekeko Cafe Lounge	Sörnäinen 	Latin American	Lunch, Dinner, Cake & Coffee	0	5.4		/en/place/ekeko-cafe-lounge-108004/menu
142	Classic Pizza REDI	Kalasatama 	Pizza	Lunch, Dessert, Dinner	0	5.1		/en/place/classic-pizza-redi-99592/menu
143	Bastion Bistro	Suomenlinna 	Eat & Drink	Dinner	0	4.3		/en/place/bastion-bistro-90686/menu
144	Peloton Cycling Eatery	Kallio 	International	Lunch, Dessert, Brunch, Dinner	0	5.7		/en/place/peloton-cycling-eatery-104752/menu
145	Korjaamo Baari & Keittiö	Töölö 	Eat & Drink	Lunch, Dinner	0	4.1		/en/place/korjaamo-baari-keittio-90180/about
146	Meyhuone	Katajanokka 	Turkish	Breakfast, Lunch, Dinner	0	5.6		/en/place/meyhuone-106667/about
147	Noodle Story Kallio	Kallio 	Asian	Lunch, Dinner	0	5.3		/en/place/noodle-story-kallio-94138/menu
148	Chicco	Töölö 	Italian	Lunch, Dessert, Dinner	0	5.2		/en/place/chicco-107130/menu
149	El Fant	City Centre 	International	Lunch, Brunch, Dinner, Cake & Coffee	0	4.7		/en/place/el-fant-28065/menu
150	Bistro Traba	Ruoholahti 	Italian	Lunch, Dessert, Brunch, Dinner	0	4.7		/en/place/bistro-traba-93633/menu
151	Green Hippo Punavuori	Punavuori 	Eat & Drink	Breakfast, All-day Breakfast, Lunch, Dessert	0	4.9		/en/place/green-hippo-punavuori-105024/menu
152	Vapiano Mikonkatu	City Centre 	Italian	Lunch, Dessert, Dinner	0	4.0		/en/place/vapiano-mikonkatu-101717/menu
153	Zen Sushi	Kruununhaka 	Sushi	Lunch, Dessert, Dinner	0	5.8		/en/place/zen-sushi-100275/menu
154	Green Hippo Töölö	Töölö 	Eat & Drink	Breakfast, Lunch, Brunch, Dinner	0	5.3		/en/place/green-hippo-toolo-105025/menu
155	Ristorante Momento Eliel	City Centre 	European		0	5.2		/en/place/ristorante-momento-eliel-108033/menu
156	Bistro Palo	Malmi 	International	Lunch, Dinner	0	5.0		/en/place/bistro-palo-96188/menu
157	Restaurant Indus	City Centre 	Indian	Lunch, Dinner	0	4.7		/en/place/restaurant-indus-102713/menu
158	Taste of Uyghur	Sörnäinen 	Asian	Lunch, Dinner	0	5.5		/en/place/taste-of-uyghur-96182/menu
159	Masa’s Pizza Töölö	Töölö 	Pizza	Lunch, Dessert, Dinner	0	5.6		/en/place/masas-pizza-toolo-102067/menu
160	DinKrog Svenskis	City Centre 	Scandinavian	Lunch, Dessert, Dinner	0	5.1		/en/place/dinkrog-svenskis-104447/menu
161	Megobaro Töölö	Töölö 	Ukranian	Lunch, Dessert, Dinner	0	5.6		/en/place/megobaro-toolo-108896/menu
162	DIF Döner Punavuori	Punavuori 	Kebab	Lunch, Dinner	0	5.0		/en/place/dif-doner-punavuori-98031/menu
163	Green Hippo Kallio	Kallio 	Eat & Drink	Breakfast, Lunch, Dessert, Brunch	0	5.3		/en/place/green-hippo-kallio-105026/menu
164	Pho Nokis	Kamppi 	Vietnamese	Lunch, Dinner	0	5.5		/en/place/pho-nokis-100857/menu
165	Pancho Villa Malmi	Malmi 	Tex-Mex	Lunch, Dinner	0	5.0		/en/place/pancho-villa-malmi-99038/menu
166	Lopez Tacos Kamppi	Kamppi 	Mexican	Lunch, Dinner	0	4.8		/en/place/lopez-tacos-kamppi-105479/menu
